epoch,episode,turn,agent,move,reward,success,winner
83,2436,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
83,2436,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
83,2436,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,28-24,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
83,2436,"(255, 0, 0)",Agent 2,22x15,-0.9000000000000004,True,None
83,2436,"(0, 0, 255)",Agent 1,10x19x28,25.1,True,None
83,2436,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,6-10,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,30-25,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,11-15,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,15-19,-2.9,True,None
83,2436,"(255, 0, 0)",Agent 2,24x15x6,22.1,True,None
83,2436,"(0, 0, 255)",Agent 1,1x10,5.1,True,None
83,2436,"(255, 0, 0)",Agent 2,27-23,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,28-32,20.1,True,None
83,2436,"(255, 0, 0)",Agent 2,31-27,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,32-28,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,21-17,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,28-24,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,25-21,-2.9,True,None
83,2436,"(0, 0, 255)",Agent 1,24x31,5.1,True,None
83,2436,"(255, 0, 0)",Agent 2,17-13,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,8-11,-2.9,True,None
83,2436,"(255, 0, 0)",Agent 2,13x6,2.0999999999999996,True,None
83,2436,"(0, 0, 255)",Agent 1,2x9,5.1,True,None
83,2436,"(255, 0, 0)",Agent 2,22-17,-2.9,True,None
83,2436,"(0, 0, 255)",Agent 1,31x22x13,25.1,True,None
83,2436,"(255, 0, 0)",Agent 2,23-18,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,9-14,-2.9,True,None
83,2436,"(255, 0, 0)",Agent 2,18x9,2.0999999999999996,True,None
83,2436,"(0, 0, 255)",Agent 1,13x6,5.1,True,None
83,2436,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,6-1,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,3-8,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,22-17,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,17-13,-2.9,True,None
83,2436,"(0, 0, 255)",Agent 1,12x19,5.1,True,None
83,2436,"(255, 0, 0)",Agent 2,21-17,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,19-24,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,20-16,-2.9,True,None
83,2436,"(0, 0, 255)",Agent 1,11x20,5.1,True,None
83,2436,"(255, 0, 0)",Agent 2,17-14,-2.9,True,None
83,2436,"(0, 0, 255)",Agent 1,10x17,5.1,True,None
83,2436,"(255, 0, 0)",Agent 2,13-9,0.1,True,None
83,2436,"(0, 0, 255)",Agent 1,24-28,0.1,True,None
83,2436,"(255, 0, 0)",Agent 2,9-6,-2.9,True,None
83,2436,"(0, 0, 255)",Agent 1,1x10,505.1,True,"(0, 0, 255)"
