epoch,episode,turn,agent,move,reward,success,winner
77,1487,"(0, 0, 255)",Agent 2,12-16,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,22-18,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,16-19,-5.9,True,None
77,1487,"(255, 0, 0)",Agent 1,23x16,2.0999999999999996,True,None
77,1487,"(0, 0, 255)",Agent 2,11x20,5.1,True,None
77,1487,"(255, 0, 0)",Agent 1,27-23,-2.9,True,None
77,1487,"(0, 0, 255)",Agent 2,20x27,2.0999999999999996,True,None
77,1487,"(255, 0, 0)",Agent 1,31x24,5.1,True,None
77,1487,"(0, 0, 255)",Agent 2,10-15,-2.9,True,None
77,1487,"(255, 0, 0)",Agent 1,18x11,-0.9000000000000004,True,None
77,1487,"(0, 0, 255)",Agent 2,7x16,5.1,True,None
77,1487,"(255, 0, 0)",Agent 1,26-22,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,16-20,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,32-27,3.1,True,None
77,1487,"(0, 0, 255)",Agent 2,6-10,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,30-26,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,9-13,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,22-18,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,10-14,-2.9,True,None
77,1487,"(255, 0, 0)",Agent 1,18x9,2.0999999999999996,True,None
77,1487,"(0, 0, 255)",Agent 2,5x14,5.1,True,None
77,1487,"(255, 0, 0)",Agent 1,23-19,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,14-17,-2.9,True,None
77,1487,"(255, 0, 0)",Agent 1,21x14,5.1,True,None
77,1487,"(0, 0, 255)",Agent 2,8-12,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,19-15,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,13-17,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,15-10,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,17-21,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,14-9,-2.9,True,None
77,1487,"(0, 0, 255)",Agent 2,21x30x23x32,145.1,True,None
77,1487,"(255, 0, 0)",Agent 1,10-6,-5.9,True,None
77,1487,"(0, 0, 255)",Agent 2,1x10,5.1,True,None
77,1487,"(255, 0, 0)",Agent 1,24-19,3.1,True,None
77,1487,"(0, 0, 255)",Agent 2,20-24,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,19-15,-2.9,True,None
77,1487,"(0, 0, 255)",Agent 2,10x19,11.1,True,None
77,1487,"(255, 0, 0)",Agent 1,29-25,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,32-27,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,25-21,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,27-31,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,21-17,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,31-26,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,17-13,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,24-27,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,28-24,-2.9,True,None
77,1487,"(0, 0, 255)",Agent 2,19x28,8.1,True,None
77,1487,"(255, 0, 0)",Agent 1,9-5,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,26-30,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,5-1,20.1,True,None
77,1487,"(0, 0, 255)",Agent 2,30-26,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,13-9,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,26-30,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,9-5,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,28-32,20.1,True,None
77,1487,"(255, 0, 0)",Agent 1,1-6,-2.9,True,None
77,1487,"(0, 0, 255)",Agent 2,2x9,5.1,True,None
77,1487,"(255, 0, 0)",Agent 1,5-1,20.1,True,None
77,1487,"(0, 0, 255)",Agent 2,30-26,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,1-5,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,4-8,-2.9,True,None
77,1487,"(255, 0, 0)",Agent 1,5x14,5.1,True,None
77,1487,"(0, 0, 255)",Agent 2,12-16,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,14-17,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,26-31,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,17-21,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,32-28,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,21-25,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,31-26,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,25-29,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,27-32,20.1,True,None
77,1487,"(255, 0, 0)",Agent 1,29-25,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,26-31,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,25-29,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,32-27,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,29-25,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,28-24,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,25-29,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,31-26,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,29-25,0.1,True,None
77,1487,"(0, 0, 255)",Agent 2,26-30,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,25-29,3.1,True,None
77,1487,"(0, 0, 255)",Agent 2,27-23,0.1,True,None
77,1487,"(255, 0, 0)",Agent 1,29-25,-2.9,True,None
77,1487,"(0, 0, 255)",Agent 2,30x21,505.1,True,"(0, 0, 255)"
