epoch,episode,turn,agent,move,reward,success,winner
98,229,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
98,229,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
98,229,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,22-17,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,28-24,-2.9,True,None
98,229,"(0, 0, 255)",Agent 1,12x19x28,25.1,True,None
98,229,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,11-16,-2.9,True,None
98,229,"(255, 0, 0)",Agent 2,20x11,2.0999999999999996,True,None
98,229,"(0, 0, 255)",Agent 1,7x16,5.1,True,None
98,229,"(255, 0, 0)",Agent 2,31-27,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
98,229,"(255, 0, 0)",Agent 2,24x15,2.0999999999999996,True,None
98,229,"(0, 0, 255)",Agent 1,10x19,2.0999999999999996,True,None
98,229,"(255, 0, 0)",Agent 2,17x10,2.0999999999999996,True,None
98,229,"(0, 0, 255)",Agent 1,6x15,5.1,True,None
98,229,"(255, 0, 0)",Agent 2,26-22,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,2-7,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,22-18,-2.9,True,None
98,229,"(0, 0, 255)",Agent 1,15x22,2.0999999999999996,True,None
98,229,"(255, 0, 0)",Agent 2,25x18,5.1,True,None
98,229,"(0, 0, 255)",Agent 1,4-8,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,30-26,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,7-10,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,5-9,-2.9,True,None
98,229,"(255, 0, 0)",Agent 2,24x15x6,22.1,True,None
98,229,"(0, 0, 255)",Agent 1,1x10,5.1,True,None
98,229,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,10-15,-2.9,True,None
98,229,"(255, 0, 0)",Agent 2,18x11x4,48.1,True,None
98,229,"(0, 0, 255)",Agent 1,9-13,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,26-22,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,13-17,-5.9,True,None
98,229,"(255, 0, 0)",Agent 2,21x14,8.1,True,None
98,229,"(0, 0, 255)",Agent 1,28-32,20.1,True,None
98,229,"(255, 0, 0)",Agent 2,27-24,3.1,True,None
98,229,"(0, 0, 255)",Agent 1,32-27,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,24-20,3.1,True,None
98,229,"(0, 0, 255)",Agent 1,27-23,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,23-18,-2.9,True,None
98,229,"(255, 0, 0)",Agent 2,22x15,8.1,True,None
98,229,"(0, 0, 255)",Agent 1,3-7,0.1,True,None
98,229,"(255, 0, 0)",Agent 2,25-21,0.1,True,None
98,229,"(0, 0, 255)",Agent 1,7-11,-2.9,True,None
98,229,"(255, 0, 0)",Agent 2,15x8,508.1,True,"(255, 0, 0)"
