epoch,episode,turn,agent,move,reward,success,winner
37,5843,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
37,5843,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
37,5843,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
37,5843,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
37,5843,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
37,5843,"(255, 0, 0)",Agent 2,22x15,-0.9000000000000004,True,None
37,5843,"(0, 0, 255)",Agent 1,11x18,5.1,True,None
37,5843,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,18-23,-5.9,True,None
37,5843,"(255, 0, 0)",Agent 2,26x19,8.1,True,None
37,5843,"(0, 0, 255)",Agent 1,7-11,-2.9,True,None
37,5843,"(255, 0, 0)",Agent 2,16x7,2.0999999999999996,True,None
37,5843,"(0, 0, 255)",Agent 1,2x11,5.1,True,None
37,5843,"(255, 0, 0)",Agent 2,30-26,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,6-9,0.1,True,None
37,5843,"(255, 0, 0)",Agent 2,26-23,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
37,5843,"(255, 0, 0)",Agent 2,31-26,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,10-14,0.1,True,None
37,5843,"(255, 0, 0)",Agent 2,26-22,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,11-16,-2.9,True,None
37,5843,"(255, 0, 0)",Agent 2,20x11,5.1,True,None
37,5843,"(0, 0, 255)",Agent 1,14-17,-5.9,True,None
37,5843,"(255, 0, 0)",Agent 2,21x14,2.0999999999999996,True,None
37,5843,"(0, 0, 255)",Agent 1,9x18,-0.9000000000000004,True,None
37,5843,"(255, 0, 0)",Agent 2,22x15,5.1,True,None
37,5843,"(0, 0, 255)",Agent 1,3-8,0.1,True,None
37,5843,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,12-16,-2.9,True,None
37,5843,"(255, 0, 0)",Agent 2,19x12x3,45.1,True,None
37,5843,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
37,5843,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,4-8,-5.9,True,None
37,5843,"(255, 0, 0)",Agent 2,3x12,5.1,True,None
37,5843,"(0, 0, 255)",Agent 1,9-13,0.1,True,None
37,5843,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,13-17,-2.9,True,None
37,5843,"(255, 0, 0)",Agent 2,22x13,8.1,True,None
37,5843,"(0, 0, 255)",Agent 1,1-6,0.1,True,None
37,5843,"(255, 0, 0)",Agent 2,12-8,0.1,True,None
37,5843,"(0, 0, 255)",Agent 1,6-10,-2.9,True,None
37,5843,"(255, 0, 0)",Agent 2,15x6,508.1,True,"(255, 0, 0)"
