epoch,episode,turn,agent,move,reward,success,winner
98,1437,"(0, 0, 255)",Agent 2,12-16,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,24-20,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,16-19,-2.9,True,None
98,1437,"(255, 0, 0)",Agent 1,23x16,5.1,True,None
98,1437,"(0, 0, 255)",Agent 2,9-14,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,27-24,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,14-18,-2.9,True,None
98,1437,"(255, 0, 0)",Agent 1,22x15,-0.9000000000000004,True,None
98,1437,"(0, 0, 255)",Agent 2,10x19,2.0999999999999996,True,None
98,1437,"(255, 0, 0)",Agent 1,24x15,2.0999999999999996,True,None
98,1437,"(0, 0, 255)",Agent 2,11x18,5.1,True,None
98,1437,"(255, 0, 0)",Agent 1,32-27,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,18-23,-5.9,True,None
98,1437,"(255, 0, 0)",Agent 1,26x19,8.1,True,None
98,1437,"(0, 0, 255)",Agent 2,8-12,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,31-26,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,7-11,-2.9,True,None
98,1437,"(255, 0, 0)",Agent 1,16x7,-0.9000000000000004,True,None
98,1437,"(0, 0, 255)",Agent 2,3x10,5.1,True,None
98,1437,"(255, 0, 0)",Agent 1,27-24,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,12-16,-5.9,True,None
98,1437,"(255, 0, 0)",Agent 1,19x12,8.1,True,None
98,1437,"(0, 0, 255)",Agent 2,5-9,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,26-23,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,10-15,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,25-22,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,15-18,-5.9,True,None
98,1437,"(255, 0, 0)",Agent 1,22x15,8.1,True,None
98,1437,"(0, 0, 255)",Agent 2,4-8,-2.9,True,None
98,1437,"(255, 0, 0)",Agent 1,12x3,25.1,True,None
98,1437,"(0, 0, 255)",Agent 2,6-10,-2.9,True,None
98,1437,"(255, 0, 0)",Agent 1,15x6,2.0999999999999996,True,None
98,1437,"(0, 0, 255)",Agent 2,1x10,5.1,True,None
98,1437,"(255, 0, 0)",Agent 1,30-25,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,9-13,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,24-19,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,10-14,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,28-24,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,13-17,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,19-15,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,14-18,-5.9,True,None
98,1437,"(255, 0, 0)",Agent 1,21x14,2.0999999999999996,True,None
98,1437,"(0, 0, 255)",Agent 2,18x27,5.1,True,None
98,1437,"(255, 0, 0)",Agent 1,25-21,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,27-31,20.1,True,None
98,1437,"(255, 0, 0)",Agent 1,24-19,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,31-26,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,21-17,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,26-22,0.1,True,None
98,1437,"(255, 0, 0)",Agent 1,20-16,-2.9,True,None
98,1437,"(0, 0, 255)",Agent 2,22x13,5.1,True,None
98,1437,"(255, 0, 0)",Agent 1,29-25,0.1,True,None
98,1437,"(0, 0, 255)",Agent 2,13-9,-2.9,True,None
98,1437,"(255, 0, 0)",Agent 1,14x5,8.1,True,None
98,1437,"(0, 0, 255)",Agent 2,2-7,-2.9,True,None
98,1437,"(255, 0, 0)",Agent 1,3x10,505.1,True,"(255, 0, 0)"
