epoch,episode,turn,agent,move,reward,success,winner
38,2234,"(0, 0, 255)",Agent 2,12-16,0.1,True,None
38,2234,"(255, 0, 0)",Agent 1,24-20,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,16-19,-2.9,True,None
38,2234,"(255, 0, 0)",Agent 1,23x16,5.1,True,None
38,2234,"(0, 0, 255)",Agent 2,9-14,0.1,True,None
38,2234,"(255, 0, 0)",Agent 1,27-24,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,14-18,-2.9,True,None
38,2234,"(255, 0, 0)",Agent 1,22x15,-0.9000000000000004,True,None
38,2234,"(0, 0, 255)",Agent 2,11x18,5.1,True,None
38,2234,"(255, 0, 0)",Agent 1,32-27,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,18-23,-5.9,True,None
38,2234,"(255, 0, 0)",Agent 1,26x19,8.1,True,None
38,2234,"(0, 0, 255)",Agent 2,10-15,-2.9,True,None
38,2234,"(255, 0, 0)",Agent 1,19x10,-0.9000000000000004,True,None
38,2234,"(0, 0, 255)",Agent 2,7x14,5.1,True,None
38,2234,"(255, 0, 0)",Agent 1,30-26,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,14-18,0.1,True,None
38,2234,"(255, 0, 0)",Agent 1,26-23,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,5-9,-2.9,True,None
38,2234,"(255, 0, 0)",Agent 1,23x14x5,25.1,True,None
38,2234,"(0, 0, 255)",Agent 2,6-9,0.1,True,None
38,2234,"(255, 0, 0)",Agent 1,31-26,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,9-13,0.1,True,None
38,2234,"(255, 0, 0)",Agent 1,26-23,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,13-17,-2.9,True,None
38,2234,"(255, 0, 0)",Agent 1,21x14,5.1,True,None
38,2234,"(0, 0, 255)",Agent 2,2-7,0.1,True,None
38,2234,"(255, 0, 0)",Agent 1,24-19,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,7-11,-2.9,True,None
38,2234,"(255, 0, 0)",Agent 1,16x7,2.0999999999999996,True,None
38,2234,"(0, 0, 255)",Agent 2,3x10x17,25.1,True,None
38,2234,"(255, 0, 0)",Agent 1,27-24,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,8-12,0.1,True,None
38,2234,"(255, 0, 0)",Agent 1,20-16,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,17-21,0.1,True,None
38,2234,"(255, 0, 0)",Agent 1,23-18,-2.9,True,None
38,2234,"(0, 0, 255)",Agent 2,21x30,25.1,True,None
38,2234,"(255, 0, 0)",Agent 1,18-15,0.1,True,None
38,2234,"(0, 0, 255)",Agent 2,30-25,-2.9,True,None
