epoch,episode,turn,agent,move,reward,success,winner
27,3513,"(0, 0, 255)",Agent 2,12-16,0.1,True,None
27,3513,"(255, 0, 0)",Agent 1,22-18,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,16-19,-5.9,True,None
27,3513,"(255, 0, 0)",Agent 1,24x15,2.0999999999999996,True,None
27,3513,"(0, 0, 255)",Agent 2,10x19,2.0999999999999996,True,None
27,3513,"(255, 0, 0)",Agent 1,23x16,2.0999999999999996,True,None
27,3513,"(0, 0, 255)",Agent 2,11x20,5.1,True,None
27,3513,"(255, 0, 0)",Agent 1,27-24,-2.9,True,None
27,3513,"(0, 0, 255)",Agent 2,20x27,-0.9000000000000004,True,None
27,3513,"(255, 0, 0)",Agent 1,32x23,5.1,True,None
27,3513,"(0, 0, 255)",Agent 2,9-14,-2.9,True,None
27,3513,"(255, 0, 0)",Agent 1,18x9,-0.9000000000000004,True,None
27,3513,"(0, 0, 255)",Agent 2,6x13,5.1,True,None
27,3513,"(255, 0, 0)",Agent 1,31-27,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,8-12,0.1,True,None
27,3513,"(255, 0, 0)",Agent 1,28-24,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,13-17,-2.9,True,None
27,3513,"(255, 0, 0)",Agent 1,21x14,5.1,True,None
27,3513,"(0, 0, 255)",Agent 2,7-11,0.1,True,None
27,3513,"(255, 0, 0)",Agent 1,25-21,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,11-16,0.1,True,None
27,3513,"(255, 0, 0)",Agent 1,21-17,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,5-9,-2.9,True,None
27,3513,"(255, 0, 0)",Agent 1,14x5,8.1,True,None
27,3513,"(0, 0, 255)",Agent 2,16-19,-5.9,True,None
27,3513,"(255, 0, 0)",Agent 1,24x15,8.1,True,None
27,3513,"(0, 0, 255)",Agent 2,12-16,0.1,True,None
27,3513,"(255, 0, 0)",Agent 1,26-22,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,16-19,-2.9,True,None
27,3513,"(255, 0, 0)",Agent 1,23x16,8.1,True,None
27,3513,"(0, 0, 255)",Agent 2,2-7,0.1,True,None
27,3513,"(255, 0, 0)",Agent 1,27-23,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,4-8,0.1,True,None
27,3513,"(255, 0, 0)",Agent 1,23-18,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,7-11,-2.9,True,None
27,3513,"(255, 0, 0)",Agent 1,16x7,2.0999999999999996,True,None
27,3513,"(0, 0, 255)",Agent 2,3x10x19,25.1,True,None
27,3513,"(255, 0, 0)",Agent 1,30-26,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,8-12,0.1,True,None
27,3513,"(255, 0, 0)",Agent 1,18-14,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,19-23,-2.9,True,None
27,3513,"(255, 0, 0)",Agent 1,26x19,8.1,True,None
27,3513,"(0, 0, 255)",Agent 2,12-16,-2.9,True,None
27,3513,"(255, 0, 0)",Agent 1,19x12,8.1,True,None
27,3513,"(0, 0, 255)",Agent 2,1-6,0.1,True,None
27,3513,"(255, 0, 0)",Agent 1,29-25,0.1,True,None
27,3513,"(0, 0, 255)",Agent 2,6-10,-2.9,True,None
27,3513,"(255, 0, 0)",Agent 1,14x7,505.1,True,"(255, 0, 0)"
