epoch,episode,turn,agent,move,reward,success,winner
95,5752,"(0, 0, 255)",Agent 2,12-16,0.1,True,None
95,5752,"(255, 0, 0)",Agent 1,24-20,0.1,True,None
95,5752,"(0, 0, 255)",Agent 2,16-19,-2.9,True,None
95,5752,"(255, 0, 0)",Agent 1,23x16,5.1,True,None
95,5752,"(0, 0, 255)",Agent 2,9-14,0.1,True,None
95,5752,"(255, 0, 0)",Agent 1,27-24,0.1,True,None
95,5752,"(0, 0, 255)",Agent 2,14-18,-2.9,True,None
95,5752,"(255, 0, 0)",Agent 1,22x15,-0.9000000000000004,True,None
95,5752,"(0, 0, 255)",Agent 2,10x19,2.0999999999999996,True,None
95,5752,"(255, 0, 0)",Agent 1,24x15,2.0999999999999996,True,None
95,5752,"(0, 0, 255)",Agent 2,11x18,5.1,True,None
95,5752,"(255, 0, 0)",Agent 1,32-27,0.1,True,None
95,5752,"(0, 0, 255)",Agent 2,6-10,0.1,True,None
95,5752,"(255, 0, 0)",Agent 1,28-24,0.1,True,None
95,5752,"(0, 0, 255)",Agent 2,18-22,-5.9,True,None
95,5752,"(255, 0, 0)",Agent 1,26x17,5.1,True,None
95,5752,"(0, 0, 255)",Agent 2,10-14,-2.9,True,None
95,5752,"(255, 0, 0)",Agent 1,17x10,2.0999999999999996,True,None
95,5752,"(0, 0, 255)",Agent 2,7x14,5.1,True,None
95,5752,"(255, 0, 0)",Agent 1,30-26,0.1,True,None
95,5752,"(0, 0, 255)",Agent 2,14-18,0.1,True,None
95,5752,"(255, 0, 0)",Agent 1,26-23,0.1,True,None
95,5752,"(0, 0, 255)",Agent 2,8-12,-2.9,True,None
95,5752,"(255, 0, 0)",Agent 1,23x14,2.0999999999999996,True,None
95,5752,"(0, 0, 255)",Agent 2,12x19x28,25.1,True,None
95,5752,"(255, 0, 0)",Agent 1,27-24,0.1,True,None
95,5752,"(0, 0, 255)",Agent 2,5-9,-2.9,True,None
95,5752,"(255, 0, 0)",Agent 1,14x5,8.1,True,None
95,5752,"(0, 0, 255)",Agent 2,28-32,20.1,True,None
95,5752,"(255, 0, 0)",Agent 1,24-19,0.1,True,None
95,5752,"(0, 0, 255)",Agent 2,32-27,-2.9,True,None
95,5752,"(255, 0, 0)",Agent 1,31x24,5.1,True,None
95,5752,"(0, 0, 255)",Agent 2,2-7,0.1,True,None
95,5752,"(255, 0, 0)",Agent 1,20-16,0.1,True,None
95,5752,"(0, 0, 255)",Agent 2,4-8,0.1,True,None
