epoch,episode,turn,agent,move,reward,success,winner
49,5051,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,22-18,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,16-19,-5.9,True,None
49,5051,"(255, 0, 0)",Agent 2,24x15,2.0999999999999996,True,None
49,5051,"(0, 0, 255)",Agent 1,10x19,2.0999999999999996,True,None
49,5051,"(255, 0, 0)",Agent 2,23x16,2.0999999999999996,True,None
49,5051,"(0, 0, 255)",Agent 1,11x20,5.1,True,None
49,5051,"(255, 0, 0)",Agent 2,28-24,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,9-14,-2.9,True,None
49,5051,"(255, 0, 0)",Agent 2,18x9,-0.9000000000000004,True,None
49,5051,"(0, 0, 255)",Agent 1,5x14,5.1,True,None
49,5051,"(255, 0, 0)",Agent 2,32-28,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,6-10,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,2-6,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,7-11,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,22-18,-2.9,True,None
49,5051,"(0, 0, 255)",Agent 1,14x23x32,48.1,True,None
49,5051,"(255, 0, 0)",Agent 2,25-22,-2.9,True,None
49,5051,"(0, 0, 255)",Agent 1,20x27,2.0999999999999996,True,None
49,5051,"(255, 0, 0)",Agent 2,31x24,5.1,True,None
49,5051,"(0, 0, 255)",Agent 1,32-27,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,30-25,-2.9,True,None
49,5051,"(0, 0, 255)",Agent 1,27x20,5.1,True,None
49,5051,"(255, 0, 0)",Agent 2,22-18,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,20-16,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,28-24,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
49,5051,"(255, 0, 0)",Agent 2,24x15,2.0999999999999996,True,None
49,5051,"(0, 0, 255)",Agent 1,10x19,5.1,True,None
49,5051,"(255, 0, 0)",Agent 2,21-17,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,19-24,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,26-23,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,24-28,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,11-16,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,18-14,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,28-32,20.1,True,None
49,5051,"(255, 0, 0)",Agent 2,17-13,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,32-27,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,23-19,-2.9,True,None
49,5051,"(0, 0, 255)",Agent 1,16x23,8.1,True,None
49,5051,"(255, 0, 0)",Agent 2,14-10,-2.9,True,None
49,5051,"(0, 0, 255)",Agent 1,6x15,5.1,True,None
49,5051,"(255, 0, 0)",Agent 2,22-18,-2.9,True,None
49,5051,"(0, 0, 255)",Agent 1,15x22,8.1,True,None
49,5051,"(255, 0, 0)",Agent 2,13-9,0.1,True,None
49,5051,"(0, 0, 255)",Agent 1,27-32,0.1,True,None
49,5051,"(255, 0, 0)",Agent 2,9-6,-2.9,True,None
49,5051,"(0, 0, 255)",Agent 1,1x10,505.1,True,"(0, 0, 255)"
