epoch,episode,turn,agent,move,reward,success,winner
124,2231,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
124,2231,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
124,2231,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
124,2231,"(255, 0, 0)",Agent 2,22x15,-0.9000000000000004,True,None
124,2231,"(0, 0, 255)",Agent 1,10x19,2.0999999999999996,True,None
124,2231,"(255, 0, 0)",Agent 2,24x15,2.0999999999999996,True,None
124,2231,"(0, 0, 255)",Agent 1,11x18,5.1,True,None
124,2231,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,18-23,-5.9,True,None
124,2231,"(255, 0, 0)",Agent 2,26x19,8.1,True,None
124,2231,"(0, 0, 255)",Agent 1,6-10,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,30-26,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,10-14,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,14-18,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,31-27,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,18-23,-2.9,True,None
124,2231,"(255, 0, 0)",Agent 2,27x18,8.1,True,None
124,2231,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,26-22,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,7-11,-2.9,True,None
124,2231,"(255, 0, 0)",Agent 2,16x7,-0.9000000000000004,True,None
124,2231,"(0, 0, 255)",Agent 1,3x10,5.1,True,None
124,2231,"(255, 0, 0)",Agent 2,22-17,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,10-15,-5.9,True,None
124,2231,"(255, 0, 0)",Agent 2,18x11,8.1,True,None
124,2231,"(0, 0, 255)",Agent 1,2-7,-2.9,True,None
124,2231,"(255, 0, 0)",Agent 2,11x2,28.1,True,None
124,2231,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,20-16,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,4-8,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,16-11,-2.9,True,None
124,2231,"(0, 0, 255)",Agent 1,8x15,2.0999999999999996,True,None
124,2231,"(255, 0, 0)",Agent 2,19x10,5.1,True,None
124,2231,"(0, 0, 255)",Agent 1,9-13,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,10-6,-5.9,True,None
124,2231,"(0, 0, 255)",Agent 1,13x22,2.0999999999999996,True,None
124,2231,"(255, 0, 0)",Agent 2,25x18,2.0999999999999996,True,None
124,2231,"(0, 0, 255)",Agent 1,1x10,5.1,True,None
124,2231,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,12-16,-2.9,True,None
124,2231,"(255, 0, 0)",Agent 2,20x11,5.1,True,None
124,2231,"(0, 0, 255)",Agent 1,10-15,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,28-24,-2.9,True,None
124,2231,"(0, 0, 255)",Agent 1,15x22,5.1,True,None
124,2231,"(255, 0, 0)",Agent 2,29-25,-2.9,True,None
124,2231,"(0, 0, 255)",Agent 1,22x29,28.1,True,None
124,2231,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,29-25,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,11-7,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,25-30,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,20-16,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,30-26,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,16-11,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,26-30,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,11-8,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,30-26,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,8-3,20.1,True,None
124,2231,"(0, 0, 255)",Agent 1,26-30,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,21-17,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,30-26,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,17-13,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,26-30,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,13-9,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,30-26,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,9-5,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,26-30,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,5-1,20.1,True,None
124,2231,"(0, 0, 255)",Agent 1,30-26,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,2-6,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,26-30,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,6-2,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,30-26,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,2-6,0.1,True,None
124,2231,"(0, 0, 255)",Agent 1,26-30,0.1,True,None
124,2231,"(255, 0, 0)",Agent 2,6-2,0.1,True,None
